geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8648972177, 2.37608280409;136;11;11/124;58;AVENUE DE LA REPUBLIQUE;602902.228819;129383.395901;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.876196047, 2.37218354181;103;10;10/114;61;BOULEVARD DE LA VILLETTE;602615.573548;130639.69053;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8688403461, 2.30122008396;72;08;8/107;32;AVENUE GEORGE V;597410.139112;129821.714347;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8627443804, 2.35936485767;30;03;3/119;25;RUE PASTOURELLE;601675.788994;129143.489889;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.845288881, 2.3692517539;157;12;12/118;4;BOULEVARD DIDEROT;602402.001843;127202.693815;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8857730297, 2.37036598805;353;19;19/118;25;AVENUE DE FLANDRE;602481.788;131704.596;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.852719661, 2.40898871152;382;20;20/114;64;RUE DU VOLGA;605317.661455;128031.03772;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8718385288, 2.36546558631;101;10;10/111;1;AVENUE RICHERAND;602123.006094;130154.919822;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8771534015, 2.3551008979;106;10;10/117;face 85 bis;BOULEVARD DE MAGENTA;601362.565838;130745.696913;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8249885208, 2.31127922285;203;14;14/106;11;AVENUE MAURICE D OCAGNE;598146.405218;124945.063541;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
